"","agencyname","month","information","joined","no.response","response","discussion","positive","neutral","negative","audience_count","hearing","media_count","media_threat","audience_threat","criticism.12","praise.12","neutral.12","valence.12","criticism.3","praise.3","neutral.3","valence.3","media_count.3","media_count.12"
"163","EIOPA","2016-01-01",12,"yes",0,0,0,0,0,0,167,0,0,"no","no",NA,NA,NA,NA,1,0,0,-1,1,NA
"164","EMA","2016-01-01",35,"yes",3,0,3,2,1,0,851,0,4,"no","no",NA,NA,NA,NA,1,7,3,0.545454545454545,25,NA
"165","EMCDDA","2016-01-01",11,"yes",3,0,3,1,2,0,341,0,0,"no","no",NA,NA,NA,NA,1,11,3,0.666666666666667,0,NA
"166","EMSA","2016-01-01",8,"yes",0,0,0,0,0,0,87,0,0,"no","no",NA,NA,NA,NA,0,2,3,0.4,0,NA
"167","ENISA","2016-01-01",41,"yes",9,0,9,6,2,1,1458,0,0,"no","no",NA,NA,NA,NA,1,16,5,0.681818181818182,0,NA
"168","ERA","2016-01-01",8,"yes",0,0,0,0,0,0,33,0,0,"no","no",NA,NA,NA,NA,0,5,0,1,0,NA
"169","ESMA","2016-01-01",20,"yes",5,0,5,4,1,0,1281,0,1,"no","no",NA,NA,NA,NA,1,4,1,0.5,2,NA
"170","EU-OSHA","2016-01-01",23,"yes",1,0,1,1,0,0,491,0,0,"no","no",NA,NA,NA,NA,2,11,4,0.529411764705882,0,NA
"171","EUIPO","2016-01-01",56,"yes",4,1,5,1,3,1,0,0,1,"no","no",NA,NA,NA,NA,1,3,1,0.4,2,NA
"172","EUROFOUND","2016-01-01",41,"yes",2,0,2,0,0,2,243,0,0,"no","no",NA,NA,NA,NA,1,7,3,0.545454545454545,0,NA
"173","FRA","2016-01-01",54,"yes",11,0,11,6,4,1,1520,1,0,"no","no",NA,NA,NA,NA,15,19,7,0.0975609756097561,2,NA
"174","FRONTEX","2016-01-01",19,"yes",9,0,9,1,4,4,1254,1,84,"no","no",NA,NA,NA,NA,18,22,10,0.08,346,NA
"175","SRB","2016-01-01",14,"yes",1,1,2,1,1,0,121,0,3,"no","no",NA,NA,NA,NA,0,1,0,1,5,NA
"176","ACER","2016-02-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"177","BEREC OFFICE","2016-02-01",15,"yes",0,0,0,0,0,0,168,0,0,"no","no",NA,NA,NA,NA,0,1,0,1,0,NA
"178","CEDEFOP","2016-02-01",28,"yes",3,0,3,2,1,0,435,0,0,"no","no",NA,NA,NA,NA,1,17,4,0.727272727272727,0,NA
"179","CPVO","2016-02-01",12,"yes",0,0,0,0,0,0,47,0,0,"no","no",NA,NA,NA,NA,0,1,1,0.5,0,NA
